ELEMENT ID,START,end,SEVERITY
0,14:54:25,16:13:55,2
0,10:33:40,12:42:17,9
1,08:39:41,08:53:18,8
4,12:18:07,12:46:49,1
4,00:19:47,13:39:48,7
4,07:59:33,15:11:25,1
4,04:23:44,11:28:29,4
4,22:26:43,23:31:34,6
4,07:28:36,10:28:37,5
4,20:59:59,23:02:41,9
4,15:38:15,21:00:58,2
4,07:20:12,22:42:16,7
4,13:42:34,16:48:47,4
4,07:45:22,22:13:42,9
4,00:55:06,13:37:55,9
7,14:49:10,23:56:43,4
8,10:11:13,16:29:48,10
9,20:00:28,23:17:25,4
9,23:11:20,23:59:20,5
10,17:26:18,19:38:20,3
18,01:59:50,10:58:35,4
19,15:26:12,19:49:11,4
19,09:29:13,16:19:10,8
21,00:13:03,07:34:14,10
21,03:52:18,07:14:48,10
22,10:31:29,18:05:49,9
22,07:06:46,23:01:05,9
27,03:03:54,16:24:09,9
28,17:52:04,17:53:52,7
28,15:12:16,20:19:14,8
29,14:50:50,16:26:34,4
29,13:20:35,13:58:40,8
31,05:19:54,21:43:24,3
32,18:56:15,23:05:36,5
35,12:13:12,18:14:27,5
36,21:43:59,22:55:45,4
38,14:11:13,17:08:38,3
39,20:26:52,22:30:01,2
40,16:54:48,20:48:34,2
41,14:40:38,17:02:06,2
42,23:59:15,23:59:25,2
42,13:44:01,18:03:32,3
44,23:47:31,23:49:23,7
46,15:09:04,20:05:34,7
46,22:27:32,22:56:27,6
46,15:02:38,22:21:24,5
46,14:49:24,22:31:19,5
46,18:15:38,20:46:00,7
46,15:12:38,21:24:35,8
46,02:06:24,22:48:26,6
46,02:51:14,09:20:54,5
46,11:29:48,15:55:50,1
46,20:43:29,23:03:38,8
46,15:11:04,17:08:53,9
46,16:10:23,18:17:32,1
46,06:16:01,23:52:54,2
46,07:01:32,09:15:02,5
49,15:35:33,21:41:13,8
53,07:22:02,19:28:37,2
55,00:56:25,05:21:33,4
57,03:15:46,23:43:41,6
58,00:03:51,05:50:38,5
60,16:12:03,19:11:32,3
60,17:10:17,18:23:23,3
60,20:14:11,22:03:59,8
62,07:37:11,08:24:43,1
64,15:09:06,21:58:43,8
65,10:58:37,15:53:51,10
65,12:47:33,17:58:24,10
65,04:59:53,14:26:00,10
69,17:42:51,18:19:32,10
69,15:39:57,23:02:58,10
69,12:11:04,15:37:45,10
71,12:53:00,17:04:01,9
75,17:41:46,18:25:24,5
76,23:14:49,23:50:48,6
80,07:48:39,09:27:29,10
80,19:18:27,22:53:01,10
80,03:38:17,20:08:33,10
80,22:34:00,22:42:25,10
81,14:39:34,23:39:51,8
81,04:40:56,11:06:21,10
83,00:04:55,10:17:57,3
87,03:55:53,21:48:30,1
92,00:10:39,11:50:49,5
92,14:05:38,21:11:30,6
97,16:45:21,18:46:12,1
98,15:30:32,23:12:31,5
98,14:32:40,22:01:36,5
