ELEMENT ID,START,end,SEVERITY
0,07:52:26,17:29:21,6
0,10:13:44,13:14:27,6
1,00:02:39,07:55:07,3
5,20:56:54,23:17:12,8
5,19:44:40,20:39:34,8
5,08:31:22,22:28:42,8
6,21:56:29,23:40:20,7
8,01:21:59,17:01:24,2
13,19:39:11,21:24:49,4
16,09:59:39,23:12:11,10
16,16:38:27,19:30:46,10
16,11:31:14,15:09:11,6
16,09:43:12,20:39:33,5
16,00:47:44,23:36:29,2
16,21:42:20,23:17:21,7
16,19:58:49,21:50:32,10
16,14:27:26,15:54:42,8
16,00:39:15,21:14:36,9
16,16:39:35,22:21:40,4
19,00:09:58,09:19:48,4
20,10:16:42,23:10:20,7
20,06:50:43,20:25:25,9
20,13:44:19,23:47:32,9
20,00:11:20,05:11:35,9
21,20:04:19,22:08:46,6
22,11:47:12,21:17:34,5
23,10:38:42,12:37:25,6
23,01:24:24,18:32:33,7
23,10:48:36,23:59:45,9
26,03:18:14,18:03:34,5
26,04:17:55,15:12:33,6
26,09:16:05,20:02:13,6
27,17:16:05,21:10:44,8
28,21:12:46,22:19:10,2
30,21:03:53,21:21:42,8
31,05:13:59,22:41:40,3
31,18:10:50,23:40:23,10
34,22:01:28,23:46:52,7
34,15:55:56,20:36:09,10
35,23:59:50,23:59:50,3
35,17:33:04,23:30:13,7
35,16:58:37,17:54:04,6
35,09:06:25,18:21:38,8
35,12:03:50,12:44:02,1
35,12:28:18,23:58:50,4
35,09:04:30,18:33:45,2
35,11:57:28,12:36:57,9
35,13:13:38,18:57:59,7
35,02:43:52,10:07:26,8
37,22:43:33,23:58:00,1
37,19:59:28,22:11:39,6
38,21:38:15,23:34:53,3
38,06:26:37,09:36:27,5
39,21:43:14,23:33:22,9
40,17:24:16,23:38:02,5
41,14:29:42,17:34:44,5
41,00:42:13,15:03:14,8
42,07:05:25,13:27:57,8
42,11:31:23,17:03:36,10
42,20:36:22,22:44:13,10
44,06:31:25,19:39:40,9
44,06:21:59,11:49:57,9
48,09:25:32,18:44:44,5
48,04:17:32,04:48:47,8
50,23:06:35,23:39:22,9
50,08:00:00,20:34:55,9
51,21:41:19,23:03:31,8
52,03:53:42,18:56:25,7
52,10:56:00,12:32:42,6
54,02:27:31,07:44:46,10
54,22:53:55,23:17:38,10
56,10:58:37,11:14:00,5
56,07:48:09,12:35:38,8
56,01:43:36,04:34:10,10
60,04:18:47,18:31:23,10
62,01:37:27,03:25:08,10
62,16:38:10,17:22:25,10
64,18:25:53,19:37:41,9
65,02:16:23,15:10:45,3
65,18:53:01,19:27:09,10
65,06:07:25,06:24:20,10
66,10:09:16,15:59:34,2
66,02:18:31,13:31:11,9
68,09:28:47,20:33:06,5
68,08:49:23,17:36:55,9
69,12:57:06,13:23:22,5
69,18:59:48,23:51:42,8
73,13:57:45,14:13:12,2
74,23:43:21,23:48:05,8
74,07:33:43,22:08:45,10
75,12:43:08,19:13:57,1
77,09:12:42,17:47:16,2
82,01:44:19,03:25:11,3
82,11:28:53,16:38:51,1
82,15:13:49,18:39:06,2
82,14:24:48,23:37:39,10
82,14:18:35,16:20:16,3
85,10:43:14,13:24:16,4
86,08:37:00,15:36:24,9
87,11:20:10,15:08:04,6
91,22:47:44,23:52:27,4
92,18:53:42,23:45:39,7
92,19:49:29,23:44:48,8
92,06:05:47,11:55:43,8
92,23:56:20,23:56:55,9
94,11:04:39,18:41:50,2
94,23:16:07,23:53:38,5
96,10:50:36,14:30:40,3
99,08:38:13,14:25:18,6
99,11:38:41,12:20:20,4
99,15:25:22,15:34:28,5
99,04:45:03,08:18:09,6
99,14:52:09,23:03:43,3
99,17:16:08,20:44:22,8
99,22:25:06,23:43:45,2
99,14:20:27,17:01:03,8
99,13:46:31,16:45:48,10
99,00:15:41,01:18:53,6
99,07:24:47,11:34:37,7
99,22:13:54,23:01:29,4
99,00:32:51,20:12:59,1
99,12:09:17,22:34:21,3
