ELEMENT ID,START,end,SEVERITY
3,00:47:37,02:18:32,6
3,12:37:13,19:35:22,8
3,14:02:31,19:00:03,8
3,15:51:11,18:26:58,10
4,09:11:52,10:40:34,10
8,14:31:26,20:44:29,8
9,05:26:57,22:28:38,4
9,22:29:44,22:59:22,8
12,03:12:41,19:25:45,2
12,18:57:53,20:53:02,5
12,03:04:55,15:21:42,10
14,07:13:28,08:21:57,8
14,17:18:24,20:49:52,9
14,13:51:54,23:13:19,9
16,13:58:47,23:29:38,8
20,06:52:33,13:25:52,10
22,22:00:32,22:28:57,5
22,10:18:44,20:24:11,9
22,22:04:45,22:10:24,10
24,19:33:38,23:01:04,1
24,12:46:05,13:56:27,4
27,03:51:50,06:49:51,1
27,10:17:57,14:58:56,5
27,16:08:21,23:55:21,7
27,00:57:56,02:21:20,8
31,02:03:01,13:42:57,3
31,06:38:32,12:06:55,8
31,08:14:31,22:19:01,10
32,23:57:47,23:58:22,4
32,17:13:00,17:43:22,7
33,16:50:01,19:03:46,4
33,00:12:24,09:30:53,4
33,12:59:50,22:48:13,4
33,14:56:13,22:30:50,6
33,18:49:20,20:58:47,9
33,16:00:58,17:59:43,2
33,05:29:13,15:14:37,10
33,07:23:13,23:23:55,6
33,23:08:26,23:47:00,8
33,17:29:29,21:32:33,8
33,00:28:15,02:57:17,1
34,21:35:51,22:08:58,1
39,21:38:31,22:32:37,9
41,01:54:09,21:19:11,7
44,07:17:14,13:43:55,4
44,11:08:33,22:21:27,5
44,06:35:55,13:23:41,10
46,04:07:12,21:49:12,9
46,20:02:13,20:32:11,2
46,18:53:32,23:05:58,2
46,21:03:57,22:54:48,8
46,04:43:48,22:53:10,1
46,20:51:34,23:11:05,3
46,06:31:07,22:08:36,4
46,09:52:51,17:45:04,10
46,14:48:11,16:02:29,10
46,21:22:45,21:51:42,7
46,21:45:16,23:38:19,3
46,20:42:51,22:32:54,10
46,08:20:51,14:44:32,8
46,16:36:53,17:33:21,5
47,19:07:38,19:21:08,2
47,21:04:28,23:19:12,4
50,07:10:18,17:09:40,8
50,02:08:45,03:31:10,10
51,23:10:29,23:28:54,8
51,06:08:36,14:54:45,9
51,14:07:44,16:30:34,10
52,01:58:39,21:54:53,6
53,00:05:10,12:17:18,7
54,03:00:15,04:46:01,6
60,05:37:51,08:20:27,5
61,15:40:19,19:35:06,4
61,17:33:04,23:12:59,8
62,12:44:38,20:30:37,1
63,19:23:51,23:02:26,8
63,14:11:07,19:03:56,10
65,14:42:45,20:44:41,6
66,22:48:43,23:38:43,7
66,16:37:14,19:22:54,8
68,03:56:47,21:19:26,10
69,15:08:33,16:53:00,3
69,19:39:01,20:45:07,10
73,20:54:44,22:46:50,8
75,20:14:57,20:50:59,6
75,00:51:22,07:13:50,9
77,05:12:12,15:04:39,2
77,10:37:56,22:59:38,9
77,15:28:28,15:37:40,9
79,07:29:30,23:44:42,1
79,15:25:00,16:54:57,6
80,05:03:08,20:42:39,9
84,20:04:43,21:16:32,4
85,01:04:25,22:53:50,9
85,00:59:38,19:20:21,10
87,09:14:53,18:30:10,10
87,02:44:42,13:49:56,10
89,12:19:03,18:19:11,2
89,16:33:01,22:51:40,9
95,19:02:36,23:03:23,5
97,09:28:47,15:19:41,8
99,17:12:08,17:36:24,1
99,17:36:09,23:06:41,7
99,05:39:47,10:47:36,3
99,16:21:29,16:33:22,8
99,22:35:32,23:04:45,3
99,20:15:15,21:36:27,7
99,11:18:15,17:15:01,10
99,00:30:27,12:46:00,3
99,22:02:17,22:31:59,3
99,18:21:42,22:39:43,6
99,08:23:10,10:26:02,8
99,23:06:24,23:41:05,6
99,00:45:00,10:21:31,8
99,09:46:40,19:46:58,8
99,23:04:40,23:44:13,7
99,15:17:51,20:35:03,8
99,02:35:11,22:10:01,4
99,21:10:51,22:06:45,2
99,01:06:38,20:38:44,9
99,03:49:05,10:27:55,7
99,09:43:41,14:16:34,3
99,04:08:01,06:20:32,3
99,06:13:53,15:08:46,10
99,10:10:19,23:53:52,1
