ELEMENT ID,START,end,SEVERITY
7,12:17:39,21:00:10,5
7,22:53:01,23:43:18,10
16,04:53:21,11:29:24,8
17,03:28:53,06:49:26,6
17,22:28:01,23:44:45,6
18,00:43:54,01:58:30,7
18,19:35:15,23:37:25,8
19,06:16:13,06:59:30,2
19,00:26:44,20:09:36,7
21,11:03:34,11:59:09,8
21,06:32:49,18:37:47,9
21,21:03:09,23:19:32,10
22,09:47:47,18:47:59,7
23,02:27:19,14:24:44,1
25,13:08:21,13:26:52,7
33,21:30:52,23:11:44,9
34,06:45:06,18:06:45,10
38,06:03:52,23:56:28,5
39,02:44:58,19:08:12,2
40,03:27:36,20:13:27,9
41,04:43:29,08:49:29,4
41,21:12:26,23:17:09,6
41,16:56:27,21:23:19,7
44,18:44:58,23:24:13,4
49,11:04:10,14:38:17,9
51,07:31:54,16:20:52,3
54,01:52:30,16:12:33,8
54,11:24:52,19:34:43,8
54,06:35:30,11:28:49,8
55,21:00:52,21:45:34,10
55,22:28:02,22:49:48,10
57,22:11:06,23:36:30,1
57,15:55:41,19:23:23,3
58,18:31:34,23:03:03,7
58,01:07:46,20:49:38,4
58,01:06:25,20:02:10,9
58,07:30:12,11:11:18,10
58,20:55:27,23:58:58,8
58,10:38:53,16:15:32,8
60,12:47:25,18:06:45,4
61,20:27:28,23:51:39,4
66,11:20:14,19:43:47,8
68,15:10:22,23:32:42,7
68,00:11:05,16:33:31,10
68,03:12:17,04:09:07,10
69,04:57:21,15:00:10,4
69,09:10:00,11:42:01,10
69,22:05:55,23:39:22,9
69,18:35:40,23:14:58,1
71,11:59:44,17:43:33,10
75,01:12:55,22:59:36,3
75,22:05:17,22:38:55,5
76,02:40:08,22:14:00,6
76,17:00:42,23:43:59,8
78,03:01:39,16:23:01,2
81,06:29:17,11:05:40,7
83,05:06:32,08:11:18,5
86,01:09:59,15:12:49,3
86,06:54:43,21:03:30,4
87,18:31:32,23:13:14,3
89,13:36:21,22:49:46,10
90,21:15:20,22:52:36,5
92,20:32:11,23:32:28,4
95,08:11:42,16:44:37,3
99,11:45:19,22:51:25,10
99,00:55:04,23:03:58,10
