ELEMENT ID,START,end,SEVERITY
3,18:49:52,20:11:46,10
3,06:38:29,12:48:00,10
4,20:06:33,23:03:37,8
8,01:24:08,05:23:57,1
11,22:50:50,23:04:34,4
15,02:44:43,05:50:13,3
21,04:14:11,04:40:35,4
21,07:46:08,22:45:41,2
21,20:23:24,22:08:07,9
21,05:58:35,17:52:47,5
23,16:28:01,21:55:47,9
24,14:27:28,18:37:26,8
25,11:30:40,15:32:02,8
25,12:22:51,18:02:04,5
25,21:16:37,23:14:13,4
25,15:59:56,22:06:27,1
26,18:32:37,20:24:39,7
26,20:43:22,20:51:52,8
27,15:36:40,22:37:31,8
27,00:16:49,10:21:43,9
29,16:38:08,20:43:43,4
29,13:54:07,14:57:13,7
30,10:03:02,11:33:02,3
31,02:28:39,04:38:36,2
32,05:46:43,23:30:28,6
32,13:37:00,14:15:37,10
33,10:19:16,17:44:13,5
35,14:18:18,19:21:18,7
35,21:00:14,22:28:50,8
35,06:00:39,06:00:42,10
36,20:01:47,23:05:06,5
36,13:22:01,22:32:44,3
36,20:02:41,20:32:22,3
36,11:08:07,19:26:09,1
36,04:11:39,10:19:27,8
38,08:08:28,16:10:09,7
38,22:53:05,23:44:07,7
39,15:24:09,23:29:18,2
43,10:38:15,12:23:32,5
43,14:26:01,15:57:09,7
44,08:13:50,09:43:14,7
46,12:14:55,17:28:58,8
47,05:25:39,17:03:38,6
48,20:32:42,21:49:59,3
48,04:55:19,09:34:20,6
48,16:23:55,21:01:00,1
48,20:59:42,22:34:17,2
48,16:31:51,21:42:59,4
48,13:01:59,22:10:35,5
48,05:12:35,15:12:48,5
48,16:24:35,17:03:56,3
48,17:35:31,18:42:36,4
48,07:16:58,21:48:31,5
48,23:34:16,23:59:07,4
48,19:07:14,23:06:24,2
48,19:45:33,23:50:00,3
49,17:47:15,20:23:45,5
50,14:07:01,16:19:57,1
53,00:35:52,10:44:13,10
59,00:22:30,19:18:38,6
60,03:50:58,16:09:39,10
60,22:03:31,22:29:57,10
60,22:22:02,22:39:45,10
61,23:00:33,23:27:27,8
61,05:54:08,20:20:43,9
62,16:01:53,20:47:06,4
62,22:03:01,22:17:23,8
64,04:59:29,12:13:29,8
64,05:24:14,11:44:31,9
65,20:28:27,21:15:52,9
65,20:46:34,21:39:57,10
66,06:32:45,19:45:19,9
68,00:21:25,07:07:48,9
68,19:21:12,20:31:43,10
70,04:47:10,12:38:42,10
74,09:38:40,15:31:01,10
75,02:23:39,04:50:38,10
75,14:05:45,21:10:49,10
76,08:52:20,22:26:32,5
79,18:29:59,22:30:57,6
81,11:53:29,13:28:45,8
81,20:19:29,21:31:13,8
81,22:30:46,23:35:24,10
83,21:44:10,22:24:43,4
85,21:05:29,21:51:36,3
86,19:56:48,21:12:14,9
86,09:17:17,14:59:42,10
89,21:06:46,22:11:55,7
93,05:46:31,16:42:00,5
94,02:30:03,04:02:20,6
95,11:55:40,22:10:43,6
95,18:49:57,23:11:50,9
95,15:41:06,17:01:15,9
97,08:04:56,15:35:45,3
97,15:12:22,16:23:08,7
97,09:17:01,14:48:08,9
97,11:18:41,16:42:12,3
97,11:21:34,23:42:33,3
97,12:44:05,23:59:46,10
97,21:03:46,23:26:50,10
97,00:02:51,06:38:21,10
97,17:15:35,20:31:01,5
97,06:54:08,16:42:26,8
97,11:06:03,21:15:20,7
97,01:51:37,03:31:02,9
97,07:50:18,18:10:47,10
97,12:28:34,22:09:01,1
98,15:38:38,21:57:31,3
